X,Z,Success?,ReachedExit
66.14123,-28.92516,1,1
87.79087,-19.4472,1,3
80.48167,-9.076158,1,2
66.76976,-28.9869,1,1
93.68667,-9.910136,1,2
2.231774,-9.607234,1,1
88.49238,-15.75006,-1,0
72.17099,-28.01709,1,1
51.95189,-22.76151,-1,0
52.53239,-25.04428,-1,0
87.13818,-16.66828,1,3
49.67041,-9.138256,1,2
23.97255,-9.066826,1,1
89.49989,-10.9603,1,2
87.25298,-16.47062,1,3
39.20355,-28.58472,1,1
2.14017,-9.9778,1,1
88.78815,-24.38982,1,3
88.61741,-22.68448,1,3
87.45672,-18.57746,1,3
70.75207,-9.977219,1,2
38.14945,-28.01156,1,1
19.13627,-28.26986,1,1
44.84558,-20.42589,1,1
38.4638,-28.47258,1,1
87.33262,-17.03963,1,3
8.303764,-9.297944,1,1
33.98402,-9.342482,1,1
65.52981,-9.385792,1,2
43.26398,-9.735479,1,1
87.0436,-13.74902,1,3
37.06194,-28.53241,1,1
68.59216,-9.015378,1,2
25.44166,-28.67784,1,1
94.38988,-9.055511,1,2
74.99762,-9.800264,1,2
50.61032,-23.55798,-1,0
63.59328,-28.34557,1,1
84.70671,-28.71637,1,3
54.34364,-28.63484,1,1
8.011568,-28.34534,1,1
72.67049,-28.19058,1,1
47.51357,-11.69121,1,2
52.67056,-9.590207,1,2
89.20498,-28.76915,1,3
80.15482,-9.516754,1,2
58.78552,-28.76736,1,1
51.33724,-28.76614,1,1
52.90184,-18.17086,1,1
89.80714,-23.7653,1,3
6.336611,-9.603254,1,1
57.95037,-9.714357,1,2
87.34408,-26.48965,1,3
81.86156,-9.041417,1,2
39.23675,-28.82855,1,1
13.5618,-9.9855,0,0
87.41159,-9.655912,1,3
90.09537,-18.52477,-1,0
53.24939,-28.2221,-1,0
17.01263,-9.266834,1,1
69.24439,-28.59424,1,1
65.20139,-28.01105,1,1
58.03529,-28.73343,1,1
73.66563,-28.75606,1,1
62.26748,-28.74105,1,1
6.646977,-28.15639,1,1
91.98309,-28.86892,1,3
68.19365,-9.196199,1,2
89.88712,-9.264444,1,2
65.79121,-9.625721,1,2
52.26798,-5.279004,1,2
12.66465,-9.974276,1,1
47.13396,-14.25756,1,2
22.5675,-9.734251,1,1
35.68567,-28.69766,1,1
47.08895,-24.74897,1,1
40.23852,-9.440928,1,1
73.83986,-28.74171,1,1
44.04824,-22.87836,1,1
15.90576,-28.97742,1,1
86.25471,-9.448227,1,3
87.7142,-23.12524,1,3
68.81656,-9.399062,1,2
35.74551,-28.76237,1,1
73.07283,-9.230741,1,2
4.61386,-28.71061,1,1
55.51571,-9.914569,1,2
4.108274,-9.527397,1,1
20.54903,-28.28236,1,1
39.8573,-9.032167,1,1
2.552029,-28.84925,1,1
88.18831,-24.70978,1,3
2.758268,-28.66641,1,1
54.06243,-28.72476,1,1
9.527624,-9.992583,0,0
62.31665,-9.454777,1,2
86.70618,-28.12515,1,3
48.14791,-6.097443,1,2
4.246011,-28.4462,1,1
33.10523,-9.168168,1,1
51.20945,-16.12539,0,0
49.60824,-13.74949,1,2
8.150241,-28.69836,1,1
56.10301,-9.283269,1,2
14.28279,-9.545846,1,2
73.30016,-9.503156,1,2
65.33179,-9.386339,1,2
50.79556,-20.03892,-1,0
44.57841,-3.919307,1,2
44.96959,-3.232049,1,2
45.03603,-24.77961,1,1
61.26324,-28.20406,1,1
28.94206,-28.7938,1,1
14.30715,-9.278975,1,1
89.67768,-25.44424,1,3
